english_devolved_area_code,english_devolved_area_name,date_of_termination,date_of_introduction
E61000001,Greater London Authority,,
E47000001,Greater Manchester Combined Authority,31/12/2016,
E47000002,"Barnsley, Doncaster, Rotherham and Sheffield Combined Authority",31/12/2016,
E47000003,West Yorkshire Combined Authority,31/12/2016,
E47000004,"Halton, Knowsley, Liverpool, St Helens, Sefton and Wirral Combined Authority",31/12/2016,
E47000005,"Durham, Gateshead, Newcastle Upon Tyne, North Tyneside, Northumberland, South Tyneside and Sunderland Combined Authority",31/12/2016,
E47000001,Greater Manchester,,31/12/2016
E47000002,Sheffield City Region,31/12/2021,31/12/2016
E47000002,South Yorkshire,,31/12/2021
E47000003,West Yorkshire,,31/12/2016
E47000004,Liverpool City Region,,31/12/2016
E47000005,North East,31/12/2018,31/12/2016
E47000006,Tees Valley,,31/12/2016
E47000007,West Midlands,,31/12/2016
E47000008,Cambridgeshire and Peterborough,,03/03/2017
E47000009,West of England,,03/03/2017
E47000010,North East,,31/12/2018
E47000011,North of Tyne,,31/12/2018
z,Outside of an English Devolved Area and unknown,,
