"pcon_code","pcon_name","new_la_code","la_name","first_available_year_included","most_recent_year_included"
"E14000958","Southport","E11000002","Merseyside","2017","2023"
"E14000916","Sefton Central","E11000002","Merseyside","2017","2023"
"E14000581","Bootle","E11000002","Merseyside","2017","2023"
"E14001043","Wirral South","E11000002","Merseyside","2017","2023"
"E14000559","Birkenhead","E11000002","Merseyside","2017","2023"
"E14001044","Wirral West","E11000002","Merseyside","2017","2023"
"E14001010","Wallasey","E11000002","Merseyside","2017","2023"
"E14000541","Barnsley Central","E11000003","South Yorkshire","2017","2023"
"E14000542","Barnsley East","E11000003","South Yorkshire","2017","2023"
"E14001028","Wentworth and Dearne","E11000003","South Yorkshire","2017","2023"
"E14001006","Tynemouth","E11000007","Tyne and Wear","2017","2023"
"E14000853","North Tyneside","E11000007","Tyne and Wear","2017","2023"
"E14000944","South Shields","E11000007","Tyne and Wear","2017","2023"
"E14000765","Jarrow","E11000007","Tyne and Wear","2017","2023"
"E14000982","Sunderland Central","E11000007","Tyne and Wear","2017","2023"
"E14001020","Washington and Sunderland West","E11000007","Tyne and Wear","2017","2023"
"E14000754","Houghton and Sunderland South","E11000007","Tyne and Wear","2017","2023"
"E14000650","Coventry North West","E11000005","West Midlands","2017","2023"
"E14001029","West Bromwich East","E11000005","West Midlands","2017","2023"
"E14001016","Warley","E11000005","West Midlands","2017","2023"
"E14001030","West Bromwich West","E11000005","West Midlands","2017","2023"
"E14000722","Halesowen and Rowley Regis","E11000005","West Midlands","2017","2023"
"E14000812","Meriden","E11000005","West Midlands","2017","2023"
"E14000931","Solihull","E11000005","West Midlands","2017","2023"
"E14000531","Aldridge-Brownhills","E11000005","West Midlands","2017","2023"
"E14001012","Walsall South","E11000005","West Midlands","2017","2023"
"E14001011","Walsall North","E11000005","West Midlands","2017","2023"
"E14000876","Penistone and Stocksbridge","E11000003","South Yorkshire","2017","2023"
"E14000756","Huddersfield","E11000006","West Yorkshire","2017","2023"
"E14000574","Blaydon","E11000007","Tyne and Wear","2017","2023"
"E14000709","Gateshead","E11000007","Tyne and Wear","2017","2023"
"E14000548","Batley and Spen","E11000006","West Yorkshire","2017","2023"
"E14000666","Dewsbury","E11000006","West Yorkshire","2017","2023"
"E14000645","Colne Valley","E11000006","West Yorkshire","2017","2023"
"E14000740","Hemsworth","E11000006","West Yorkshire","2017","2023"
"E14000836","Normanton, Pontefract and Castleford","E11000006","West Yorkshire","2017","2023"
"E14001009","Wakefield","E11000006","West Yorkshire","2017","2023"
"E14000826","Morley and Outwood","E11000006","West Yorkshire","2017","2023"
"E14000556","Beverley and Holderness","E06000011","East Riding of Yorkshire","2017","2023"
"E14000683","East Yorkshire","E06000011","East Riding of Yorkshire","2017","2023"
"E14000724","Haltemprice and Howden","E06000011","East Riding of Yorkshire","2017","2023"
"E14000596","Brigg and Goole","E06000011","East Riding of Yorkshire","2017","2023"
"E14000651","Coventry South","E11000005","West Midlands","2017","2023"
"E14000649","Coventry North East","E11000005","West Midlands","2017","2023"
"E14000976","Stourbridge","E11000005","West Midlands","2017","2023"
"E14000672","Dudley South","E11000005","West Midlands","2017","2023"
"E14000671","Dudley North","E11000005","West Midlands","2017","2023"
"E14001050","Wolverhampton South East","E11000005","West Midlands","2017","2023"
"E14000773","Kingston upon Hull West and Hessle","E06000011","East Riding of Yorkshire","2017","2023"
"E14000643","Cleethorpes","E06000012","North East Lincolnshire","2017","2023"
"E14000716","Great Grimsby","E06000012","North East Lincolnshire","2017","2023"
"E14000879","Plymouth, Moor View","E06000026","Plymouth","2017","2023"
"E14000880","Plymouth, Sutton and Devonport","E06000026","Plymouth","2017","2023"
"E14000950","South West Devon","E06000026","Plymouth","2017","2023"
"E14000957","Southend West","E06000033","Southend-on-Sea","2017","2023"
"E14000925","Shipley","E11000006","West Yorkshire","2017","2023"
"E14000587","Bradford East","E11000006","West Yorkshire","2017","2023"
