new_la_code,la_name,date_of_operation,date_of_termination,parent_geography_code,entity_code,status
E09000008,Croydon,01/01/2009,,E12000007,E09,live
E09000009,Ealing,01/01/2009,,E12000007,E09,live
E09000010,Enfield,01/01/2009,,E12000007,E09,live
E09000011,Greenwich,01/01/2009,,E12000007,E09,live
E09000012,Hackney,01/01/2009,,E12000007,E09,live
E09000013,Hammersmith and Fulham,01/01/2009,,E12000007,E09,live
E09000014,Haringey,01/01/2009,,E12000007,E09,live
E09000015,Harrow,01/01/2009,,E12000007,E09,live
E09000016,Havering,01/01/2009,,E12000007,E09,live
E09000017,Hillingdon,01/01/2009,,E12000007,E09,live
E09000018,Hounslow,01/01/2009,,E12000007,E09,live
E09000019,Islington,01/01/2009,,E12000007,E09,live
E09000020,Kensington and Chelsea,01/01/2009,,E12000007,E09,live
E09000021,Kingston upon Thames,01/01/2009,,E12000007,E09,live
E09000022,Lambeth,01/01/2009,,E12000007,E09,live
E09000023,Lewisham,01/01/2009,,E12000007,E09,live
E09000024,Merton,01/01/2009,,E12000007,E09,live
E09000025,Newham,01/01/2009,,E12000007,E09,live
E09000026,Redbridge,01/01/2009,,E12000007,E09,live
E09000027,Richmond upon Thames,01/01/2009,,E12000007,E09,live
E09000028,Southwark,01/01/2009,,E12000007,E09,live
E09000029,Sutton,01/01/2009,,E12000007,E09,live
E09000030,Tower Hamlets,01/01/2009,,E12000007,E09,live
E09000031,Waltham Forest,01/01/2009,,E12000007,E09,live
E09000032,Wandsworth,01/01/2009,,E12000007,E09,live
E09000033,Westminster,01/01/2009,,E12000007,E09,live
E08000001,Bolton,01/01/2009,,E12000002,E08,live
E08000002,Bury,01/01/2009,,E12000002,E08,live
E08000003,Manchester,01/01/2009,,E12000002,E08,live
E08000004,Oldham,01/01/2009,,E12000002,E08,live
E08000005,Rochdale,01/01/2009,,E12000002,E08,live
E08000006,Salford,01/01/2009,,E12000002,E08,live
E08000007,Stockport,01/01/2009,,E12000002,E08,live
E08000008,Tameside,01/01/2009,,E12000002,E08,live
E08000009,Trafford,01/01/2009,,E12000002,E08,live
E08000010,Wigan,01/01/2009,,E12000002,E08,live
E08000011,Knowsley,01/01/2009,,E12000002,E08,live
E08000012,Liverpool,01/01/2009,,E12000002,E08,live
E08000013,St. Helens,01/01/2009,,E12000002,E08,live
E08000014,Sefton,01/01/2009,,E12000002,E08,live
E08000015,Wirral,01/01/2009,,E12000002,E08,live
E08000016,Barnsley,01/01/2009,,E12000003,E08,live
E08000017,Doncaster,01/01/2009,,E12000003,E08,live
E08000018,Rotherham,01/01/2009,,E12000003,E08,live
E08000019,Sheffield,01/01/2009,,E12000003,E08,live
E08000020,Gateshead,01/01/2009,31/03/2013,E12000001,E08,terminated
E08000021,Newcastle upon Tyne,01/01/2009,,E12000001,E08,live
E08000022,North Tyneside,01/01/2009,,E12000001,E08,live
E08000023,South Tyneside,01/01/2009,,E12000001,E08,live
E08000024,Sunderland,01/01/2009,,E12000001,E08,live
E08000025,Birmingham,01/01/2009,,E12000005,E08,live
E08000026,Coventry,01/01/2009,,E12000005,E08,live
E08000027,Dudley,01/01/2009,,E12000005,E08,live
E08000028,Sandwell,01/01/2009,,E12000005,E08,live
E08000029,Solihull,01/01/2009,,E12000005,E08,live
E08000030,Walsall,01/01/2009,,E12000005,E08,live
E08000031,Wolverhampton,01/01/2009,,E12000005,E08,live
E08000032,Bradford,01/01/2009,,E12000003,E08,live
E08000033,Calderdale,01/01/2009,,E12000003,E08,live
E08000034,Kirklees,01/01/2009,,E12000003,E08,live
E08000035,Leeds,01/01/2009,,E12000003,E08,live
E08000036,Wakefield,01/01/2009,,E12000003,E08,live
E10000001,Bedfordshire,01/01/2009,31/03/2009,E12000006,E10,terminated
E10000002,Buckinghamshire,01/01/2009,31/03/2020,E12000008,E10,terminated
E10000003,Cambridgeshire,01/01/2009,,E12000006,E10,live
E10000004,Cheshire,01/01/2009,31/03/2009,E12000002,E10,terminated
E10000005,Cornwall and Isles of Scilly,01/01/2009,31/03/2009,E12000009,E10,terminated
E10000006,Cumbria,01/01/2009,,E12000002,E10,live
E10000007,Derbyshire,01/01/2009,,E12000004,E10,live
E10000008,Devon,01/01/2009,,E12000009,E10,live
E10000009,Dorset,01/01/2009,31/03/2019,E12000009,E10,terminated
E10000010,Durham,01/01/2009,31/03/2009,E12000001,E10,terminated
E10000011,East Sussex,01/01/2009,,E12000008,E10,live
E10000012,Essex,01/01/2009,,E12000006,E10,live
E10000013,Gloucestershire,01/01/2009,,E12000009,E10,live
E10000014,Hampshire,01/01/2009,,E12000008,E10,live
E10000015,Hertfordshire,01/01/2009,,E12000006,E10,live
E10000016,Kent,01/01/2009,,E12000008,E10,live
E10000017,Lancashire,01/01/2009,,E12000002,E10,live
E10000018,Leicestershire,01/01/2009,,E12000004,E10,live
E10000019,Lincolnshire,01/01/2009,,E12000004,E10,live
E10000020,Norfolk,01/01/2009,,E12000006,E10,live
E10000021,Northamptonshire,01/01/2009,31/03/2021,E12000004,E10,terminated
E10000022,Northumberland,01/01/2009,31/03/2009,E12000001,E10,terminated
E10000023,North Yorkshire,01/01/2009,,E12000003,E10,live
E10000024,Nottinghamshire,01/01/2009,,E12000004,E10,live
E10000025,Oxfordshire,01/01/2009,,E12000008,E10,live
E10000026,Shropshire,01/01/2009,31/03/2009,E12000005,E10,terminated
E10000027,Somerset,01/01/2009,,E12000009,E10,live
E10000028,Staffordshire,01/01/2009,,E12000005,E10,live
E10000029,Suffolk,01/01/2009,,E12000006,E10,live
E10000030,Surrey,01/01/2009,,E12000008,E10,live
E10000031,Warwickshire,01/01/2009,,E12000005,E10,live
E10000032,West Sussex,01/01/2009,,E12000008,E10,live
E10000033,Wiltshire,01/01/2009,31/03/2009,E12000009,E10,terminated
E10000034,Worcestershire,01/01/2009,,E12000005,E10,live
E06000032,Luton,01/01/2009,,E12000006,E06,live
