local_enterprise_partnership_code,local_enterprise_partnership_name,date_of_introduction,date_of_termination,status
E37000001,Black Country,,,live
E37000003,Cheshire and Warrington,,,live
E37000005,Cornwall and Isles of Scilly,,,live
E37000006,Coventry and Warwickshire,,,live
E37000007,Cumbria,,,live
E37000009,Dorset,,,live
E37000011,Gloucestershire,,,live
E37000012,Greater Birmingham and Solihull,,,live
E37000015,Greater Manchester,,,live
E37000016,Heart of the South West,,,live
E37000019,Lancashire,,,live
E37000021,Leicester and Leicestershire,,,live
E37000022,Liverpool City Region,,,live
E37000025,North East,,,live
E37000032,Stoke-on-Trent and Staffordshire,,,live
E37000033,Swindon and Wiltshire,,,live
E37000034,Tees Valley,,,live
E37000035,Thames Valley Berkshire,,,live
E37000036,The Marches,,,live
E37000037,West of England,,,live
E37000038,Worcestershire,,,live
E37000043,Buckinghamshire,2021-04-01,,live
E37000044,Coast to Capital,2020-04-01,,live
E37000045,"Derby, Derbyshire, Nottingham and Nottinghamshire",2020-04-01,,live
E37000046,Enterprise M3,2020-04-01,,live
E37000048,Hertfordshire,2020-04-01,,live
E37000051,London,2020-04-01,,live
E37000052,New Anglia,2020-04-01,,live
E37000053,Oxfordshire,2020-04-01,,live
E37000054,Sheffield City Region,2020-04-01,,live
E37000055,Solent,2020-04-01,,live
E37000056,South East,2020-04-01,,live
E37000057,South East Midlands,2020-04-01,,live
E37000058,York and North Yorkshire,2021-04-01,,live
E37000059,Greater Cambridge and Greater Peterborough,2021-04-01,,live
E37000060,Greater Lincolnshire,2021-04-01,,live
E37000061,Hull and East Yorkshire,2021-04-01,,live
E37000062,Leeds City Region,2021-04-01,,live
E37000014,Greater Lincolnshire,,2020-04-01,terminated
E37000043,Buckinghamshire Thames Valley,2020-04-01,2020-04-01,terminated
E37000047,Greater Cambridge and Greater Peterborough,2020-04-01,2020-04-01,terminated
E37000049,Humber,2020-04-01,2020-04-01,terminated
E37000050,Leeds City Region,2020-04-01,2020-04-01,terminated
E37000058,"York, North Yorkshire and East Riding",2020-04-01,2020-04-01,terminated
E37000002,Buckinghamshire Thames Valley,,2017-04-01,terminated
E37000004,Coast to Capital,,2017-04-01,terminated
E37000008,"Derby, Derbyshire, Nottingham and Nottinghamshire",,2017-04-01,terminated
E37000010,Enterprise M3,,2017-04-01,terminated
E37000017,Hertfordshire,,2017-04-01,terminated
E37000018,Humber,,2017-04-01,terminated
E37000020,Leeds City Region,,2017-04-01,terminated
E37000023,London,,2017-04-01,terminated
E37000024,New Anglia,,2017-04-01,terminated
E37000027,Oxfordshire,,2017-04-01,terminated
E37000029,Solent,,2017-04-01,terminated
E37000030,South East,,2017-04-01,terminated
E37000039,"York, North Yorkshire and East Riding",,2017-04-01,terminated
E37000040,Sheffield City Region,,2017-04-01,terminated
E37000041,South East Midlands,2017-04-01,2017-04-01,terminated
E37000042,Greater Cambridge and Greater Peterborough,2017-04-01,2017-04-01,terminated
E37000013,Greater Cambridge and Greater Peterborough,,2014-12-01,terminated
E37000026,Northamptonshire,,2014-12-01,terminated
E37000031,South East Midlands,,2014-12-01,terminated
