col_name,filter_grouping_column,filter_label,context,example_entries,discontinued
breakdown,breakdown_topic,,,,
breakdown_topic,,,,,
ethnicity_minor,ethnicity_major,Ethnicity minor,Personal characteristics,,
ethnicity_major,minority_ethnic,Ethnicity major,Personal characteristics,,
minority_ethnic,,Minority ethnic,Personal characteristics,,
sex,,Legal sex,Personal characteristics,,
sex,,Legal sex,Personal characteristics,,
attainment_metric,qualification_type,Attainment metric,Attainment,
qualification_type,qualification_level,Qualification type,Attainment,"GCSE, A-level",
qualification_level,,Qualification level,Attainment,"Level 3, Level 4",
subject,,Subject,Attainment,"English",
disadvantaged_status,,,Personal characteristics,,
free_school_meal_status,,,Personal characteristics,,
special_educational_needs_type,special_educational_needs_status,,Personal characteristics,,
special_educational_needs_status,,,Personal characteristics,,
english_foriegn_language_status,,,Personal characteristics,,
